archivo,numero,mes,anio,formato,paginas,ancho,alto,chars_p1,imgs_p1,dibujos_p1,fuente_p1,escaneado
Reporte-Mensual-de-Conflictos-Sociales-N-152---Octubre-2016.pdf,152,10,2016,adjuntia_portada_estadistica,130,595,842,843,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-153-Noviembre-2016.pdf,153,11,2016,adjuntia_portada_estadistica,126,595,842,848,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-154-Diciembre-2016.pdf,154,12,2016,adjuntia_portada_estadistica,126,595,842,849,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-155-Enero-2017-1.pdf,155,1,2017,adjuntia_portada_estadistica,132,595,842,849,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-156-Febrero-2017.pdf,156,2,2017,adjuntia_portada_estadistica,129,595,842,837,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-157-Marzo-2017.pdf,157,3,2017,adjuntia_portada_estadistica,123,595,842,845,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-158-Abril-2017.pdf,158,4,2017,adjuntia_portada_estadistica,112,595,842,849,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-159-Mayo-2017.pdf,159,5,2017,adjuntia_portada_estadistica,112,595,842,874,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-160-Junio-2017.pdf,160,6,2017,adjuntia_portada_estadistica,110,595,842,865,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-161-Julio-2017.pdf,161,7,2017,adjuntia_portada_estadistica,108,595,842,874,5,13,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-162-Agosto-2017.pdf,162,8,2017,adjuntia_portada_estadistica,108,595,842,892,5,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-163-Septiembre-2017.pdf,163,9,2017,adjuntia_portada_estadistica,103,595,842,869,0,14,Franklin Gothic Book,0
Reporte-Mensual-de-Conflictos-Sociales-N-164-Octubre-2017.pdf,164,10,2017,adjuntia_portada_estadistica,105,595,842,881,0,14,Franklin Gothic Book,0
