numero,en_drive,en_nuevo,estado,archivo_drive,archivo_nuevo
164,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N-164-Octubre-2017.pdf,Reporte-Mensual-de-Conflictos-Sociales-N-164-Octubre-2017.pdf
165,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N-165-Noviembre-2017.pdf,Reporte-Mensual-de-Conflictos-Sociales-N-165-Noviembre-2017.pdf
166,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N-166-Diciembre-2017.pdf,Reporte-Mensual-de-Conflictos-Sociales-N-166-Diciembre-2017.pdf
167,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N-167-Enero-2018.pdf,Reporte-Mensual-de-Conflictos-Sociales-N-167-Enero-2018.pdf
168,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N-168-Febrero-2018.pdf,Reporte-Mensual-de-Conflictos-Sociales-N-168-Febrero-2018.pdf
169,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-169-Marzo-2018.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-169---Marzo-2018.pdf
170,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-170---Abril-2018.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-170---Abril-2018.pdf
171,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N°-171-Mayo-2018.pdf,Reporte-Mensual-de-Conflictos-Sociales-N_-171-Mayo-2018.pdf
172,True,True,match,Reporte-Mensual-de-Conflictos-Sociales-N-172---Junio-2018.pdf,Reporte-Mensual-de-Conflictos-Sociales-N-172-Junio-2018.pdf
173,True,True,match,Reporte Mensual de Conflictos Sociales N° 173 - Julio 2018.pdf,Reporte_Mensual_de_Conflictos_Sociales_N_173_-_Julio_2018.pdf
174,True,True,match,Conflictos-Sociales-N°-174-Agosto-2018.pdf,Conflictos-Sociales-N_-174-Agosto-2018.pdf
175,True,True,match,Conflictos-Sociales-N°-175-Septiembre-2018.pdf.pdf,Conflictos-Sociales-N_-175-Septiembre-2018.pdf
176,True,True,match,Conflictos-Sociales-N°-176-Octubre-2018.pdf,Conflictos-Sociales-N_-176-Octubre-2018.pdf
177,True,True,match,Conflictos Sociales N° 177 - Noviembre 2018.pdf,Conflictos_Sociales_N_177_-_Noviembre_2018.pdf
178,True,True,match,Conflictos-Sociales-N°-178-Diciembre-2018.pdf,Conflictos-Sociales-N_-178-Diciembre-2018.pdf
179,True,True,match,Conflictos-Sociales-N°-179-Enero-2019.pdf,Conflictos-Sociales-N_-179-Enero-2019.pdf
180,True,True,match,Conflictos-Sociales-N°-180-Febrero-2018.pdf,Conflictos-Sociales-N_-180-Febrero-2018.pdf
181,True,True,match,Conflictos-Sociales-N°-181-Marzo-2019.pdf,Conflictos-Sociales-N_-181-Marzo-2019.pdf
182,True,True,match,Conflictos-Sociales-N°-182-Abril-2019.pdf,Conflictos-Sociales-N_-182-Abril-2019.pdf
183,True,True,match,Conflictos-Sociales-N°-183-Mayo-2019.pdf,Conflictos-Sociales-N_-183-Mayo-2019.pdf
184,True,True,match,Conflictos-Sociales-N°-184-Junio-2019.pdf,Conflictos-Sociales-N_-184-Junio-2019.pdf
185,True,True,match,Conflictos Sociales N° 185 - Julio 2019.pdf,Conflictos_Sociales_N_185_-_Julio_2019.pdf
